,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
5.0,0j,0j,0j,0j,(-0.0031848004290781703-0.007579227945400781j),(-0.001713376983100199-0.004841112950195222j),(-0.003217226567529444-0.0019453932038932219j),(-0.0017676412656337393-0.0012643891483903999j),(-0.0008256842235058511+0.0006326839632801713j),(-0.0003323210998779877+0.00019431269849659854j),(0.00016727522909271473+0.00010028090044327377j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,(-0.003466610495700768-0.0035727138753105345j),(-0.002470615552430433-0.0026146360710555144j),(-0.001629549890461484+0.00042232998600930604j),(-0.00048698370374027815+0.0005025134783497365j),(-0.00021204209891393177+0.00024117336702553474j),(0.00016418258508991035+6.2395863608799e-05j),(3.091225664400064e-06+3.7888430058355654e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,(-0.002071580663634059-0.0005369875409017917j),(-0.0010919544854673952-0.00010497264609325832j),(-0.0007413110654051637+0.0003686996403126788j),(-0.0004011397975258429+7.79780317393751e-05j),(7.836385932699866e-05+0.00019761614341958303j),(-2.898917025230965e-05+5.8707478627578284e-05j),(3.208016848906304e-05-2.082094780282278e-05j),0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,(-0.0013357083090010978+0.0003212803617891181j),(-0.000800298346774476+0.0001728170888922092j),(-5.208899681256194e-05+0.00035323594242175346j),(0.00011335351866958616+0.00015404423628852376j),(1.4803714867862363e-05+3.87568627155224e-05j),(3.208181693006298e-05-2.572963996844919e-05j),(-1.3432889502623348e-09+4.909539454430964e-06j),0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0003891776457696572+0.0003452275479416973j),(-8.78972892436369e-05+0.00017824761109074593j),(-1.5692580795306307e-05+0.00016500494832014047j),(-4.7540339350960115e-05+5.524603952520442e-05j),(4.758059119538475e-05+3.6111213474967065e-06j),(-4.388434387361347e-07+1.2861424547048881e-05j),(4.371784957992791e-07-7.95219920822795e-06j),0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-9.851668546665238e-05+0.00032879557273134173j),(-5.228751682621711e-05+0.00016855230102376056j),(6.610683881881555e-05+3.500223437417834e-05j),(5.399708841347346e-05-7.936925026363128e-06j),(7.447265623097768e-07+1.0528202194521238e-06j),(3.6034806509957035e-08-9.642767156714758e-06j),(4.013428795662738e-07+1.6906700856426208e-06j),0j,0j,0j,0j,0j
8.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.986825964564365e-05+9.958470623088601e-05j),(2.833164133504922e-05+1.9118845099979263e-05j),(2.451323033463918e-05+1.9304878140923025e-05j),(-5.483759076297623e-06+1.5223170557146986e-05j),(6.136589454010221e-06-8.620649306032976e-06j),(1.5404173262237337e-06+2.850935715360001e-06j),(-1.139181091581611e-06-1.160272896419748e-06j),0j,0j,0j,0j
8.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(5.983224750046256e-05+5.7173261651466535e-05j),(2.6048080479818965e-05+2.8935075616218043e-05j),(1.1791729594489097e-05-1.1162543520111228e-05j),(6.596017599442971e-06-1.2930071085262471e-05j),(-1.0532826422930097e-06+1.247136092526302e-06j),(-1.5637026905595828e-06-1.5051921282493172e-06j),(4.245738766323227e-07+3.4490543733314134e-07j),0j,0j,0j
9.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.6329596333520866e-05+3.8516747799763884e-06j),(3.063377850690222e-06-6.637158335256251e-06j),(5.460302770501093e-06-1.2534211578298855e-06j),(3.6006374681138704e-07+4.67247505465038e-06j),(-6.046978797969607e-07-2.345292464125629e-06j),(7.714437467875676e-07+3.621038985338369e-07j),(-3.46890711124252e-07-1.718302127133e-08j),0j,0j
9.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.903914840019082e-05-5.808783319870925e-06j),(8.883231652905579e-06-1.0703173792479712e-06j),(-1.5627266028006867e-06-3.3458939568237956e-06j),(-1.3395086924829515e-06-3.5146752639081313e-06j),(1.324424115136114e-07+7.441119069976604e-07j),(-4.952314113955534e-07-5.472434380660627e-09j),(1.48347847320616e-07-1.1721465044893834e-08j),0j
10.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.944026858235134e-07-1.8834457064234282e-06j),(-2.321661776059263e-06-1.0412549806129544e-06j),(5.942608786480761e-07-8.213806276425084e-07j),(9.338104487876202e-07+1.1220868063186233e-06j),(-4.786214052685428e-07-2.9710664389931933e-07j),(2.1030831243590105e-07-5.8087415466599546e-08j),(-6.196183759457719e-08+4.6372081301269267e-08j)
