,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
5.0,0j,0j,0j,0j,(0.13939788144085632+0.04134351877829017j),(0.06109285465716679+0.0029010010414767164j),(0.10980408105679132+0.06592253011162692j),(0.04022961947635104+0.01372005412769159j),(0.06280379301190005+0.0755672410421987j),(0.019052330519385006+0.03100092611648707j),(-0.020374617101066812+0.09658691059675109j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,(0.1270523544649541+0.058174332039328154j),(0.05387769888542394+0.010073951878753833j),(0.08843569592299395+0.07648030647453193j),(0.03151516230188185+0.017977853368961877j),(0.04118662815499769+0.07515839260060263j),(0.009616322713923108+0.026811612769615495j),(-0.029990971977072206+0.06977549398185988j),0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,(0.10989778395944269+0.07177849267001703j),(0.045227060837770484+0.01652191982760068j),(0.06661469035761493+0.08133341876947776j),(0.023772419773757728+0.019362989102409203j),(0.02222934388249111+0.07034596872060762j),(0.0032368622233896866+0.021463207003419676j),(-0.03322788130661229+0.0483124325809678j),0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,(0.09053528056433952+0.08103468250258597j),(0.036747427428904494+0.020275250712068576j),(0.04563662698550108+0.08141752551746761j),(0.01668505832630577+0.01982685794309106j),(0.007012096281881059+0.062380271715655064j),(-0.0007841372834129865+0.016866950879862872j),(-0.032443804759819186+0.03144558444989932j),0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,0j,0j,0j,(0.07010024596596971+0.08605804524502234j),(0.028472600306337203+0.02266333910668824j),(0.026953711616155958+0.07735656311609293j),(0.010717601840841732+0.018691803876012814j),(-0.0044175760415689595+0.05281304994723634j),(-0.0031660286849358524+0.012556044999277254j),(-0.02927783546313359+0.018889607941196943j),0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05016063759675398+0.08679225838911941j),(0.02089347436804167+0.02318895797492255j),(0.01119594603794259+0.07042809616307888j),(0.005899688922632476+0.016984119047811726j),(-0.012216172482031188+0.0426541381992433j),(-0.004275405355840288+0.00905464672309235j),(-0.025002486320669124+0.009835004277237316j),0j,0j,0j,0j,0j
8.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0316951477757705+0.08392914800215454j),(0.014252919517326953+0.022592649139079195j),(-0.001298517555637609+0.06154678964223669j),(0.0021808225167226835+0.014654404190434223j),(-0.01688002662482329+0.03285623615603275j),(-0.004616636721912549+0.006178209193046364j),(-0.020385898042739978+0.003656818937112612j),0j,0j,0j,0j
8.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.015482918475511793+0.07807541385070914j),(0.008638424279124639+0.020960103046186628j),(-0.01054120480886921+0.0517519034776716j),(-0.0004802556190634204+0.012211309956685306j),(-0.019003108919883552+0.023948447085789498j),(-0.004416361285463634+0.003981841103176853j),(-0.015969577247508308-0.00032501129277329025j),0j,0j,0j
9.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00197641194636319+0.07009083710998781j),(0.004136170245923477+0.018736778785295047j),(-0.016789251597158092+0.04178713000784814j),(-0.0022755875542042636+0.009744433691506633j),(-0.019201536224410218+0.016304179765619667j),(-0.003947625182530465+0.0023373004120999553j),(-0.01202198418256497-0.0026623097227340773j),0j,0j
9.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.008648003627172688+0.06074604358821724j),(0.0006674301860520664+0.0161369674235651j),(-0.020422309781004618+0.03228993604826773j),(-0.003323123538125042+0.00747458193381578j),(-0.018063465587486234+0.010044119367852256j),(-0.003334798281839177+0.0011712772871806897j),(-0.008687210540402026-0.0038335902986218907j),0j
10.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.016422871808472884+0.050792755501345224j),(-0.0018297776350864557+0.013426033692874293j),(-0.02191901111748243+0.023673806897189103j),(-0.0038158577067334597+0.005460108524867552j),(-0.016085403050199214+0.00517100816197886j),(-0.0027006636618798923+0.00037990309128810957j),(-0.005986564980397478-0.00421349965098459j)
