0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19,-20,20
(3.153385655074145e-05-6.551971954449747e-05j),(3.153385655074145e-05-6.551971954449747e-05j),(-0.00010926101772978786-8.737330606886615e-05j),(8.333588210295002e-05-9.171206386314641e-05j),(-0.00010926101772978786-8.737330606886615e-05j),(8.333588210295002e-05-9.171206386314641e-05j),(-0.00021974864012054478-0.0002151781468462765j),(6.455688144884421e-05-7.952343158956921e-05j),(-0.00021974864012054478-0.0002151781468462765j),(6.455688144884421e-05-7.952343158956921e-05j),(-0.0001379270858963971-0.0003028119162761001j),(4.1190894286148664e-05-3.290960385994981e-05j),(-0.0001379270858963971-0.0003028119162761001j),(4.1190894286148664e-05-3.290960385994981e-05j),(1.559974185175202e-05-7.627999859849825e-05j),(3.470579423604508e-05+6.6919948953463326e-06j),(1.559974185175202e-05-7.627999859849825e-05j),(3.470579423604508e-05+6.6919948953463326e-06j),(0.0012802670273321223-0.0009184892936984042j),0j,(0.0012802670273321223-0.0009184892936984042j),,,,,,,,,,,,,,,,,,,,
(3.0303638398945403e-05-6.503076760538852e-05j),(8.356037469030997e-05-9.270177805603238e-05j),(3.0303638398945403e-05-6.503076760538852e-05j),(8.356037469030997e-05-9.270177805603238e-05j),(-0.00011314710238838124-8.579926815457742e-05j),(6.370870456864204e-05-8.377371827091544e-05j),(-0.00011314710238838124-8.579926815457742e-05j),(6.370870456864204e-05-8.377371827091544e-05j),(-0.00021906308404995664-0.00021498869771383535j),(4.117274374330905e-05-3.442745872013498e-05j),(-0.00021906308404995664-0.00021498869771383535j),(4.117274374330905e-05-3.442745872013498e-05j),(-0.00013911096858330526-0.0003007988478292001j),(3.855282911430455e-05+7.841568186401864e-06j),(-0.00013911096858330526-0.0003007988478292001j),(3.855282911430455e-05+7.841568186401864e-06j),(1.6029757608643875e-05-7.544797249424007e-05j),(3.485321110135769e-05+1.8781463444813232e-05j),(1.6029757608643875e-05-7.544797249424007e-05j),(3.485321110135769e-05+1.8781463444813232e-05j),(0.0012988274029354738-0.0009230930193262875j),0j,(0.0012988274029354738-0.0009230930193262875j),,,,,,,,,,,,,,,,,,
(8.182435941076551e-05-9.328515663362119e-05j),(8.182435941076551e-05-9.328515663362119e-05j),(2.8734649702507536e-05-6.442700533250833e-05j),(6.430991169101225e-05-8.528083465892433e-05j),(2.8734649702507536e-05-6.442700533250833e-05j),(6.430991169101225e-05-8.528083465892433e-05j),(-0.00011332597074548614-8.567766988879815e-05j),(4.148148503044643e-05-3.7309781436153034e-05j),(-0.00011332597074548614-8.567766988879815e-05j),(4.148148503044643e-05-3.7309781436153034e-05j),(-0.0002204122826783898-0.0002119437810139171j),(3.799584829725116e-05+6.577329614786709e-06j),(-0.0002204122826783898-0.0002119437810139171j),(3.799584829725116e-05+6.577329614786709e-06j),(-0.00013916196440283898-0.0003010613181104096j),(3.89450880669712e-05+2.2490876349419007e-05j),(-0.00013916196440283898-0.0003010613181104096j),(3.89450880669712e-05+2.2490876349419007e-05j),(1.6829003223645696e-05-7.577997262437105e-05j),(2.4228016091134446e-05+1.6540543174045172e-05j),(1.6829003223645696e-05-7.577997262437105e-05j),(2.4228016091134446e-05+1.6540543174045172e-05j),(0.0012977085960609622-0.0009028883667025452j),0j,(0.0012977085960609622-0.0009028883667025452j),,,,,,,,,,,,,,,,
(8.12168011611322e-05-9.413288783080186e-05j),(6.276236664563953e-05-8.622907342958793e-05j),(8.12168011611322e-05-9.413288783080186e-05j),(6.276236664563953e-05-8.622907342958793e-05j),(2.8079070126830016e-05-6.40842810868269e-05j),(4.154525947879349e-05-3.8347487521166467e-05j),(2.8079070126830016e-05-6.40842810868269e-05j),(4.154525947879349e-05-3.8347487521166467e-05j),(-0.00011392340052068689-8.33131111346899e-05j),(3.997762894404228e-05+5.013833769575668e-06j),(-0.00011392340052068689-8.33131111346899e-05j),(3.997762894404228e-05+5.013833769575668e-06j),(-0.0002212148882955987-0.00021215809764053774j),(3.8214155163059576e-05+2.1704320558997042e-05j),(-0.0002212148882955987-0.00021215809764053774j),(3.8214155163059576e-05+2.1704320558997042e-05j),(-0.0001384466677486828-0.0002998747941858693j),(2.7678173338065992e-05+2.1062702980123703e-05j),(-0.0001384466677486828-0.0002998747941858693j),(2.7678173338065992e-05+2.1062702980123703e-05j),(1.7592261333350034e-05-7.545739616674068e-05j),(7.66586484338113e-06+1.39299054661979e-05j),(1.7592261333350034e-05-7.545739616674068e-05j),(7.66586484338113e-06+1.39299054661979e-05j),(0.001294088749808443-0.0009086388308531837j),0j,(0.001294088749808443-0.0009086388308531837j),,,,,,,,,,,,,,
(6.218578398116344e-05-8.750797950498533e-05j),(6.218578398116344e-05-8.750797950498533e-05j),(8.053222235828927e-05-9.380517415546915e-05j),(4.073704968216353e-05-3.954410490812074e-05j),(8.053222235828927e-05-9.380517415546915e-05j),(4.073704968216353e-05-3.954410490812074e-05j),(2.7610405732453807e-05-6.313555687302892e-05j),(3.9801221283008004e-05+5.003151577167925e-06j),(2.7610405732453807e-05-6.313555687302892e-05j),(3.9801221283008004e-05+5.003151577167925e-06j),(-0.00011483067290877225-8.299940016785555e-05j),(4.130893088760618e-05+2.087030677798963e-05j),(-0.00011483067290877225-8.299940016785555e-05j),(4.130893088760618e-05+2.087030677798963e-05j),(-0.00022020983006697167-0.00021081772643245252j),(2.7005371198655977e-05+2.0500046962789218e-05j),(-0.00022020983006697167-0.00021081772643245252j),(2.7005371198655977e-05+2.0500046962789218e-05j),(-0.00013875689858053187-0.00029945512333101284j),(9.52725429306079e-06+1.8674332881925534e-05j),(-0.00013875689858053187-0.00029945512333101284j),(9.52725429306079e-06+1.8674332881925534e-05j),(1.770520447260371e-05-7.563125159244005e-05j),(-4.7524983606144045e-06+1.3481114801496555e-05j),(1.770520447260371e-05-7.563125159244005e-05j),(-4.7524983606144045e-06+1.3481114801496555e-05j),(0.001303009488196843-0.0009018879589962682j),0j,(0.001303009488196843-0.0009018879589962682j),,,,,,,,,,,,
(6.155271841593394e-05-8.750398726238761e-05j),(4.034656167451957e-05-4.031220975173729e-05j),(6.155271841593394e-05-8.750398726238761e-05j),(4.034656167451957e-05-4.031220975173729e-05j),(7.97270493496742e-05-9.377501712625106e-05j),(3.975541398339933e-05+3.5227839209303336e-06j),(7.97270493496742e-05-9.377501712625106e-05j),(3.975541398339933e-05+3.5227839209303336e-06j),(2.7063662244564395e-05-6.262872654324227e-05j),(4.126544151740214e-05+2.1567455331414658e-05j),(2.7063662244564395e-05-6.262872654324227e-05j),(4.126544151740214e-05+2.1567455331414658e-05j),(-0.00011415863317239791-8.215829224380516e-05j),(3.0263331348918133e-05+2.025873608949776e-05j),(-0.00011415863317239791-8.215829224380516e-05j),(3.0263331348918133e-05+2.025873608949776e-05j),(-0.00022077651851871142-0.00020995766972115864j),(8.821093321638976e-06+1.8083909748340168e-05j),(-0.00022077651851871142-0.00020995766972115864j),(8.821093321638976e-06+1.8083909748340168e-05j),(-0.00013808101777813722-0.00029936990566064453j),(-4.523682052603183e-06+1.8441427737049402e-05j),(-0.00013808101777813722-0.00029936990566064453j),(-4.523682052603183e-06+1.8441427737049402e-05j),(1.8195189951160318e-05-7.584663342832394e-05j),(-1.005446176273318e-05+1.119825956080458e-05j),(1.8195189951160318e-05-7.584663342832394e-05j),(-1.005446176273318e-05+1.119825956080458e-05j),(0.0012973005459336426-0.0008967727833724033j),0j,(0.0012973005459336426-0.0008967727833724033j),,,,,,,,,,
(3.967908217720523e-05-4.0660644362150226e-05j),(3.967908217720523e-05-4.0660644362150226e-05j),(6.066402277029783e-05-8.772706188820475e-05j),(3.99350507579338e-05+3.3687440389461747e-06j),(6.066402277029783e-05-8.772706188820475e-05j),(3.99350507579338e-05+3.3687440389461747e-06j),(7.942852074246752e-05-9.349484654749777e-05j),(4.172866904118808e-05+1.995724632342351e-05j),(7.942852074246752e-05-9.349484654749777e-05j),(4.172866904118808e-05+1.995724632342351e-05j),(2.7079597916864057e-05-6.209947410868986e-05j),(3.023988796954403e-05+2.114585515823957e-05j),(2.7079597916864057e-05-6.209947410868986e-05j),(3.023988796954403e-05+2.114585515823957e-05j),(-0.00011451193797847246-8.12283092624016e-05j),(1.1713423629026287e-05+1.861048535519233e-05j),(-0.00011451193797847246-8.12283092624016e-05j),(1.1713423629026287e-05+1.861048535519233e-05j),(-0.00022011888053087198-0.0002100150254412161j),(-5.4072149612016295e-06+1.7792405338137988e-05j),(-0.00022011888053087198-0.0002100150254412161j),(-5.4072149612016295e-06+1.7792405338137988e-05j),(-0.0001378217863342071-0.00029879514648302057j),(-1.089176104807128e-05+1.6170120621907214e-05j),(-0.0001378217863342071-0.00029879514648302057j),(-1.089176104807128e-05+1.6170120621907214e-05j),(1.8293280799886357e-05-7.5802875456408e-05j),(-1.1455846016316152e-05+5.599976956038844e-06j),(1.8293280799886357e-05-7.5802875456408e-05j),(-1.1455846016316152e-05+5.599976956038844e-06j),(0.0012997596126611546-0.0008980417772258928j),0j,(0.0012997596126611546-0.0008980417772258928j),,,,,,,,
(3.914870487060648e-05-4.0930131645349145e-05j),(3.9251165485255166e-05+2.8275058799560286e-06j),(3.914870487060648e-05-4.0930131645349145e-05j),(3.9251165485255166e-05+2.8275058799560286e-06j),(6.031179443131502e-05-8.771055021176813e-05j),(4.2419646431289616e-05+2.0108618824770084e-05j),(6.031179443131502e-05-8.771055021176813e-05j),(4.2419646431289616e-05+2.0108618824770084e-05j),(7.904049839106018e-05-9.305313191557364e-05j),(3.101167636116534e-05+1.9673980337065432e-05j),(7.904049839106018e-05-9.305313191557364e-05j),(3.101167636116534e-05+1.9673980337065432e-05j),(2.688774399840564e-05-6.145467281296185e-05j),(1.1413159019555145e-05+1.949738424972234e-05j),(2.688774399840564e-05-6.145467281296185e-05j),(1.1413159019555145e-05+1.949738424972234e-05j),(-0.00011427672767576997-8.120787307662446e-05j),(-2.931392484864473e-06+1.90764777913038e-05j),(-0.00011427672767576997-8.120787307662446e-05j),(-2.931392484864473e-06+1.90764777913038e-05j),(-0.00021971008752945086-0.00020923563481498386j),(-1.195817664008223e-05+1.5521894541293764e-05j),(-0.00021971008752945086-0.00020923563481498386j),(-1.195817664008223e-05+1.5521894541293764e-05j),(-0.00013762428082106192-0.0002988318041546886j),(-1.2851715261046998e-05+1.0155311983121829e-05j),(-0.00013762428082106192-0.0002988318041546886j),(-1.2851715261046998e-05+1.0155311983121829e-05j),(1.836209553419679e-05-7.604620047223428e-05j),(-1.1954252003323895e-05-8.884200393436643e-07j),(1.836209553419679e-05-7.604620047223428e-05j),(-1.1954252003323895e-05-8.884200393436643e-07j),(0.001299875239060185-0.0008916064535078172j),0j,(0.001299875239060185-0.0008916064535078172j),,,,,,
(3.9216672102106505e-05+2.4392882774385096e-06j),(3.9216672102106505e-05+2.4392882774385096e-06j),(3.865869223603916e-05-4.097590710054794e-05j),(4.183688818020578e-05+1.9499370754037864e-05j),(3.865869223603916e-05-4.097590710054794e-05j),(4.183688818020578e-05+1.9499370754037864e-05j),(5.986130238731934e-05-8.742605243227509e-05j),(3.18513005055488e-05+1.997978873289416e-05j),(5.986130238731934e-05-8.742605243227509e-05j),(3.18513005055488e-05+1.997978873289416e-05j),(7.881257107603315e-05-9.272858876330322e-05j),(1.2410012420981296e-05+1.8335765586810517e-05j),(7.881257107603315e-05-9.272858876330322e-05j),(1.2410012420981296e-05+1.8335765586810517e-05j),(2.683299501475981e-05-6.116317775261212e-05j),(-3.6017863374513863e-06+2.001551235620154e-05j),(2.683299501475981e-05-6.116317775261212e-05j),(-3.6017863374513863e-06+2.001551235620154e-05j),(-0.00011394406316459717-8.060450131458938e-05j),(-9.83561551912985e-06+1.7266558550854135e-05j),(-0.00011394406316459717-8.060450131458938e-05j),(-9.83561551912985e-06+1.7266558550854135e-05j),(-0.00021963990942607854-0.0002092749539535481j),(-1.4019371360424795e-05+9.509629305981383e-06j),(-0.00021963990942607854-0.0002092749539535481j),(-1.4019371360424795e-05+9.509629305981383e-06j),(-0.00013714959117537627-0.0002986361458298995j),(-1.3674242672375774e-05+2.969666781536723e-06j),(-0.00013714959117537627-0.0002986361458298995j),(-1.3674242672375774e-05+2.969666781536723e-06j),(1.851143220096204e-05-7.606447251011966e-05j),(-1.1825530701285461e-05-5.68909192624383e-06j),(1.851143220096204e-05-7.606447251011966e-05j),(-1.1825530701285461e-05-5.68909192624383e-06j),(0.0012970402915403003-0.0008905783897048858j),0j,(0.0012970402915403003-0.0008905783897048858j),,,,
(3.871725252254684e-05+2.454109049756902e-06j),(4.2160109096401675e-05+1.8991134738600548e-05j),(3.871725252254684e-05+2.454109049756902e-06j),(4.2160109096401675e-05+1.8991134738600548e-05j),(3.8269713141839915e-05-4.09830535749667e-05j),(3.144621222970283e-05+1.9334600109789097e-05j),(3.8269713141839915e-05-4.09830535749667e-05j),(3.144621222970283e-05+1.9334600109789097e-05j),(5.953948984814474e-05-8.727076960067293e-05j),(1.313580403551099e-05+1.8865526580830874e-05j),(5.953948984814474e-05-8.727076960067293e-05j),(1.313580403551099e-05+1.8865526580830874e-05j),(7.870295472941274e-05-9.232750049317124e-05j),(-2.4473895872709985e-06+1.9176582164299092e-05j),(7.870295472941274e-05-9.232750049317124e-05j),(-2.4473895872709985e-06+1.9176582164299092e-05j),(2.6914492272945023e-05-6.0712988019552224e-05j),(-1.0759148562411669e-05+1.827473126563679e-05j),(2.6914492272945023e-05-6.0712988019552224e-05j),(-1.0759148562411669e-05+1.827473126563679e-05j),(-0.00011403082491660049-8.046130738526739e-05j),(-1.2271044808030607e-05+1.1374331094552848e-05j),(-0.00011403082491660049-8.046130738526739e-05j),(-1.2271044808030607e-05+1.1374331094552848e-05j),(-0.00021904580332704002-0.00020915943253324912j),(-1.488421317230003e-05+2.2746474126019688e-06j),(-0.00021904580332704002-0.00020915943253324912j),(-1.488421317230003e-05+2.2746474126019688e-06j),(-0.00013700476904273418-0.000298480372226066j),(-1.3730293623330544e-05-2.507813989210859e-06j),(-0.00013700476904273418-0.000298480372226066j),(-1.3730293623330544e-05-2.507813989210859e-06j),(1.8452433512904162e-05-7.61094581307312e-05j),(-1.040695500811562e-05-8.348250719057349e-06j),(1.8452433512904162e-05-7.61094581307312e-05j),(-1.040695500811562e-05-8.348250719057349e-06j),(0.0012981892850542679-0.0008876784909869181j),0j,(0.0012981892850542679-0.0008876784909869181j),,
