 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.287634231083353668e-02-1.704397976753578917e-02j), (-2.687245157397988651e-02+3.470952216783356262e-03j), (4.226308326249356151e-02+1.121679052533700732e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.381129892544594451e-02+4.947041892063134411e-02j), (-5.641348999917795287e-02-2.854527428661249311e-02j), (-4.382662436358134711e-02+1.083248299601145687e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.417658812758235999e-02+1.295110896019905679e-02j), (-3.823270843136332160e-03+4.183022921342356357e-03j), (-3.727782101815865778e-02+9.522113259003713026e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.073538412960461583e-02+5.212566205633258759e-03j), (1.661948162292927952e-02+1.930972330112720042e-02j), (3.144737624784724704e-03+1.322526885956484908e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.409077507970065216e-02+1.348861229519164769e-03j), (2.160974011415415022e-03+1.181337664972050353e-02j), (6.509491853827122781e-04+6.131863515245004198e-05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.399679123711377107e-02-2.580625150449350133e-02j), (-2.735896567676820643e-02-8.422756386211044041e-03j), (8.916352260679637209e-02+4.323420394906461045e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.363307949642741324e-02+1.235351536475995556e-02j), (1.387438595367934679e-02-3.407152236413470148e-02j), (-1.054948118949081311e-02+5.704753488740815781e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.087438424382203325e-02-3.669532120508704753e-02j), (-7.131517722000164927e-03+2.298715833304111264e-02j), (5.081261969349755436e-02-4.267639251920075927e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.714216355527419314e-02-1.754633290195735384e-02j), (3.641442730411679866e-03+1.192134363148349141e-02j), (3.307400695855196304e-02-3.019973042989568951e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.712506696738018891e-03+8.034741427981099970e-03j), (1.479952913277009880e-03-3.623531509557743890e-02j), (5.058236270684562941e-02+4.594727157656405131e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.620356005003085520e-02+4.059791489971419087e-02j), (5.357015647796001950e-02-8.145044348317222876e-03j), (-2.419207544145301342e-02+2.719374610416368243e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.267544750855310570e-02+2.677700585916456544e-02j), (5.193958692198833230e-03-7.158590847602105955e-02j), (-2.479022347013135411e-02+9.555332953301815674e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.831847978600624482e-02+1.198012234339106662e-02j), (-1.166169521165795302e-02-3.939801763679798979e-02j), (-4.394333241357669360e-03+7.759740229564219410e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.408931983643955423e-02-9.680031016588904478e-04j), (2.661264477661773320e-01-4.415229782421581373e-02j), (3.203536236825539896e-01+3.290945873620508555e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.914602307044470375e-02-2.102991537179395992e-02j), (-4.107236447977247185e-02+6.753626266672967116e-02j), (1.499783862699651665e-02-4.263055192181156722e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.942401277198087639e-02+1.965466069939643401e-02j), (5.953841077827502770e-02-1.639775483503327219e-02j), (-1.540675208706997722e-02-2.709322789931513722e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.853372124715929797e-02+1.214232398275097782e-02j), (4.655027028215998064e-02-1.466428788376885478e-02j), (-5.114764264032761742e-03-1.750964816449257846e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.350929993899662243e-02-7.396762783231523863e-02j), (-4.325477127843210812e-02+2.291824057741062015e-01j), (-1.664927090624980510e-02+1.760841384675394371e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.061522616614045941e-02-2.225989491544598520e-02j), (-3.286926611957653038e-02+3.835445883008638951e-02j), (7.035509408850026437e-03+3.345940473888588118e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.463749446518972396e-03-4.492399230329434563e-03j), (2.128364634018266657e-02-1.059945369096388854e-02j), (2.823281033288825223e-02+8.675778283473978975e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.968372992094030605e-03-1.223925399021821934e-03j), (8.559308044729282625e-03-1.536704978825173887e-02j), (1.874817334605351216e-02+1.038631631860361532e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.018358364109302056e-01+1.490437395716849578e-02j), (1.464146518383295237e-01-1.198322217386039723e-01j), (8.163498445544840887e-02-3.529670191737584173e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.587420648527739467e-03-4.583754141501539953e-02j), (4.197510465847126976e-02+1.084924292376844707e-01j), (6.644226250397841605e-04-1.269954787507706663e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.667065153543281622e-02+4.527316857843715486e-02j), (4.706789418613298304e-02-1.238109890768715748e-01j), (5.844698007047918406e-03-4.233735736543131796e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.671337379158666786e-02+3.299349113393850591e-02j), (2.211594990149662321e-02-8.473502040233257815e-02j), (5.688684576901319526e-03-1.437860228089707544e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.262702748429983313e-02+4.399617863694597376e-03j), (7.640048606839394685e-02-6.950539271516767426e-02j), (6.853879898271129922e-02-6.129678036509102201e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.081815851064652487e-02-2.527077758286551748e-02j), (1.067666807342153301e-02-3.042094647725203035e-02j), (9.458895574911985182e-02-5.364569429325456718e-03j)
