,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,"1,3","1,6","1,12","1,k","2,3","2,6","2,12","2,k","3,3","3,6","3,12","3,k","4,3","4,6","4,12","4,k"
10,10,10,10,10,10,10,10,10,10,10,10,10,0.0662147998809814,0.0811390876770019,0.0977299213409423,0.0930469036102294,0.1634387969970703,0.1616911888122558,0.1533989906311035,0.1457340717315673,0.8912229537963867,0.8590872287750244,0.9024529457092284,0.8911919593811035,12.003615140914915,11.240430116653442,11.058214902877808,11.358556985855103
11,11,11,11,11,11,11,11,11,11,11,11,11,0.1231379508972168,0.1734561920166015,0.1918158531188964,0.1801588535308838,0.1990768909454345,0.1920571327209472,0.1872272491455078,0.1769931316375732,1.0638110637664795,1.023994207382202,1.066230058670044,1.0645198822021484,14.66221809387207,13.417952060699465,13.258379936218262,13.525928974151611
12,12,12,12,12,12,12,12,12,12,12,12,12,0.220848798751831,0.3734352588653564,0.3851587772369385,0.3682301044464111,0.232292890548706,0.2196440696716308,0.2178690433502197,0.2048940658569336,1.297921895980835,1.1838102340698242,1.2365000247955322,1.2610957622528076,17.006304025650024,15.616903066635132,15.443424940109251,15.73420786857605
13,13,13,13,13,13,13,13,13,13,13,13,13,0.3777868747711181,0.7808761596679688,0.7945988178253174,0.7711148262023926,0.274850845336914,0.257720947265625,0.261120080947876,0.243283987045288,1.473607063293457,1.3580081462860107,1.4178409576416016,1.6710519790649414,19.529301166534424,18.007753133773804,17.835853815078735,18.116477966308594
14,14,14,14,14,14,14,14,14,14,14,14,14,0.6514618396759033,1.6645681858062744,1.686733961105347,1.640634059906006,0.316148042678833,0.2937381267547607,0.3017358779907226,0.2792720794677734,1.677955150604248,1.5648131370544434,1.6414148807525637,2.026843786239624,22.52032494544983,20.56260299682617,20.397891998291016,20.675952911376953
15,15,15,15,15,15,15,15,15,15,15,15,15,1.0786097049713137,3.476726055145264,3.5973827838897705,3.4623169898986816,0.3712987899780273,0.343329906463623,0.3600940704345703,0.3311550617218017,1.884807109832764,1.7687480449676514,1.8603498935699463,2.2359840869903564,25.83037114143372,23.45369529724121,23.33363389968872,23.580148935317993
16,16,16,16,16,16,16,16,16,16,16,16,16,1.7439327239990234,7.281122207641602,7.652034044265747,7.373716831207275,0.4456620216369629,0.3928530216217041,0.4197671413421631,0.3856310844421386,2.103790044784546,1.9986660480499268,2.317205905914306,2.46059799194336,28.82480812072754,26.3633131980896,26.25352787971497,26.485875844955444
17,17,17,17,17,17,17,17,17,17,17,17,17,2.7068426609039307,15.231969118118286,16.209155082702637,15.624616861343384,0.5295069217681885,0.4620480537414551,0.501366138458252,0.4581482410430908,2.3558449745178223,2.264341115951538,2.7017500400543213,2.7147860527038574,32.31909108161926,29.48326110839844,29.444983959198,29.596328020095825
18,18,18,18,18,18,18,18,18,18,18,18,18,4.204080820083618,31.22455406188965,34.29044890403748,33.063196897506714,0.6029577255249023,0.5363330841064453,0.5910840034484863,0.5327081680297852,2.603998899459839,2.534451961517334,2.957483053207397,2.963567018508911,35.91506600379944,32.77172017097473,32.780511140823364,32.88147306442261
19,19,19,19,19,19,19,19,19,19,19,19,19,6.62066388130188,63.4094820022583,72.32307887077332,69.60666370391846,0.7036149501800537,0.6463620662689209,0.7124879360198975,0.6390962600708008,2.87731409072876,3.110253095626831,3.2215259075164795,3.2339119911193848,39.802841901779175,36.4166431427002,36.46468210220337,36.52871084213257
20,20,20,20,20,20,20,20,20,20,20,20,20,10.577654838562012,126.63116908073424,152.72073984146118,146.70790481567383,0.8139259815216064,0.7716131210327148,0.8607680797576904,0.7675988674163818,3.201604127883911,3.491840124130249,3.5226168632507324,3.537514925003052,43.54251289367676,40.09025406837464,40.172698974609375,40.190629959106445
21,21,21,21,21,21,21,21,21,21,21,21,21,17.235617876052856,249.3782331943512,307.52876687049866,303.22286200523376,0.961284875869751,0.9566969871520996,1.0863502025604248,0.960792064666748,3.510977029800415,3.795003890991211,3.823596954345703,3.84497594833374,47.48064208030701,43.981208086013794,44.0842068195343,44.07137393951416
