0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19
(0.0013869313737299071-0.006755376439185533j),(0.01644462258216302+0.0016803002576416097j),(0.01671998364731216+0.00022034918594917284j),(0.003654551368928726-0.0007746546190419161j),(0.0013896865958823576-0.0165514607108879j),(0.01689588024594371+0.0022784526995521036j),(0.016415343160476423-0.0018225771945744964j),(0.0039220163560989806+0.0005312673185945335j),(0.005204775358043397-0.019331893965315084j),(0.015515958497427242+0.0016877574292676473j),(0.01708575715756365-0.004308466989027656j),(0.002198744696442499+0.00039799749222548127j),(-0.0013742327153121103-0.003002745808444855j),(0.015170203963425083+0.0035261348818224586j),(0.016982983611662374-0.0042266177724386575j),(0.0006603407837298615+0.00023207759145534376j),(-0.0387309635256608+0.020424213992220514j),(0.016444832180843416+0.0027166193743147302j),(0.013045396358602869-0.0025369898979485717j),0j,(0.8609703666375039+0.02560585983520776j),,,,,,,,,,,,,,,,,,
(0.016478856022052825+0.0014310747674300365j),(0.004387244057619887-0.000984844943558721j),(0.0016281894663028422-0.007965954809192512j),(0.015711926480768173+0.0018906434217039409j),(0.016056659778785284+0.000519133878360243j),(0.005101305437382316+0.0007384584780746011j),(0.0017486177422808735-0.018892990394874284j),(0.015716524241539704+0.002071414761354998j),(0.016114848151525557-0.002010097916961767j),(0.003290401008680313+0.0005942559519227412j),(0.006175904456082475-0.021630119816003237j),(0.014424236693009223+0.0014916221624221861j),(0.01686663676477968-0.003917135028479564j),(0.0013240587898746847+0.0005349192856829486j),(-0.0012577690680089344-0.003312351854682348j),(0.014506428002010253+0.003223370782486886j),(0.0165626892554981-0.004157964052410011j),(0.00037244552175814017+0.00032756135107154226j),(-0.04224800208255627+0.022044606979806515j),(0.01607235082641645+0.0023891166830849048j),(0.012966714018882143-0.0024349457608429967j),0j,(0.8480033914015092+0.0280401729406691j),,,,,,,,,,,,,,,,
(0.0050750997150248315-0.0011442940096515611j),(0.015790994645268917+0.0015906762085117995j),(0.015842979234770724+0.0016616783367719985j),(0.006199040267784571+0.0009140312117400328j),(0.0018419961473463233-0.009108355792336095j),(0.014614129333075179+0.0017152259238989755j),(0.01573195450473084+0.0002585344730585193j),(0.004350307262018327+0.0008153765905317517j),(0.002131754649660355-0.02116144836328169j),(0.014656548174155693+0.0018504176360992343j),(0.015890726481693325-0.0016904486894977072j),(0.0019621832176548+0.0007749360046853096j),(0.007152029492684949-0.023856661776641065j),(0.013786054943084235+0.0012516779515129623j),(0.01640493289238791-0.0038312212572695816j),(0.0007052253845132538+0.0007388678819337876j),(-0.0010998986677165624-0.0036392119144373694j),(0.014173595355850707+0.002812110167122414j),(0.016399315350865452-0.004002955605863595j),(0.00027224308071743195+0.00033726676658372675j),(-0.04568034953494875+0.023612046818183206j),(0.01580007699801222+0.0020518932079295906j),(0.012697935489391063-0.0023256326006298378j),0j,(0.8353051974778214+0.030365178777856827j),,,,,,,,,,,,,,
(0.015229049795189065+0.0018012842082090117j),(0.007248721283412702+0.001113647178974916j),(0.005689024652126943-0.0012837504035278315j),(0.014741251113527807+0.0013912162101775893j),(0.015509839929657302+0.0013502831799279333j),(0.005337424629936139+0.0010113911113312848j),(0.00206423221194328-0.010199965281199482j),(0.013626945064277309+0.0015193319404954158j),(0.01548685694249777+0.0004725413913708005j),(0.002622439872532011+0.0010108520424042865j),(0.0025358603448821957-0.02332426715041268j),(0.013996229885119131+0.001614574553598445j),(0.015441197535926198-0.0016616589556950048j),(0.0009944439152434076+0.0010729325625297207j),(0.008115974297187165-0.02602608246354006j),(0.013496783470548075+0.000917649574131568j),(0.01623771081624822-0.003673833274573002j),(0.0004609760394888449+0.0007587304784239688j),(-0.0009381812711919149-0.003968445496136324j),(0.013984818483579752+0.0023906784726910576j),(0.01605007037662688-0.003798530051399706j),(0.00025387798190734515+0.0002490249000538472j),(-0.04903223001689948+0.025084386905406098j),(0.015546173154405006+0.0018029094713920397j),(0.012550191054281729-0.0023033939725679246j),0j,(0.822754757107089+0.032667954573549096j),,,,,,,,,,,,
(0.00820409125894741+0.0013218316048810917j),(0.014273620469272849+0.0015932512026337778j),(0.014917098699992654+0.0014709590518288613j),(0.006295305449045988+0.0011989919857230212j),(0.0062817606381569-0.0014042789178158256j),(0.013783304662461254+0.0012037363093437418j),(0.015269803888102187+0.0014916912541332978j),(0.003234767085478303+0.0012260819454001002j),(0.0022814018693018017-0.011218980025632404j),(0.013014555326026151+0.0013041704094535582j),(0.015041129292080525+0.00042250701827447777j),(0.0013093445872511833+0.0013856802805442233j),(0.002936157426935156-0.025408267451190483j),(0.013681273261214833+0.0013018628498089268j),(0.015271926811222554-0.0015614540472411829j),(0.0006013858189009632+0.001105662904032802j),(0.009081964181022967-0.028138319733163906j),(0.013356330344155+0.0005707400330944089j),(0.015870537698227258-0.0034449496805124633j),(0.00039361385674335683+0.0005690939985832091j),(-0.0007585378961768817-0.004322130489938512j),(0.013845051916133957+0.0020706379533659345j),(0.015800935187144285-0.0037137177851946134j),(0.00024169004463948636+0.00014004422896338962j),(-0.052282720646604844+0.02649416521622122j),(0.015304464211637035+0.00166290961661693j),(0.012369842379335205-0.002179790901176759j),0j,(0.8103846691614843+0.03484713684674496j),,,,,,,,,,
(0.014006403174917319+0.0012707481497317295j),(0.00718299391541288+0.0013936091658422035j),(0.00911473025839615+0.0015221918501559034j),(0.013385868002062163+0.0013987506275544305j),(0.014723208317051964+0.0015717754024743582j),(0.0038350537496906353+0.0014075050114445047j),(0.006828350184122885-0.001484220367345368j),(0.013182956803055661+0.0010223813753901276j),(0.014830435114203708+0.0013955967972450055j),(0.001592719679396522+0.0016737716555921818j),(0.002492207437365622-0.01219193892813272j),(0.012731122168174711+0.0010161115321039888j),(0.014852465060618655+0.00044270854514559j),(0.0007543413798086966+0.001448139180026588j),(0.0033558419872187434-0.027412267995431065j),(0.013528272224786869+0.0009594078449640292j),(0.01491734984956699-0.0014012034996077106j),(0.0004964598679126467+0.000814257249239399j),(0.01003535189826483-0.03018192465593205j),(0.013253457328982756+0.00032559844971850427j),(0.015602851509698638-0.0033575657829396813j),(0.00035791472498962105+0.0003276489106366599j),(-0.0005603454070499126-0.004678381265256249j),(0.013728808461514428+0.001883062523636026j),(0.015547779025546746-0.0035209691552919005j),(0.0002313745452265426+7.110919437960417e-05j),(-0.055460403786147014+0.027834809414846423j),(0.015073076974026888+0.0015918474591592195j),(0.012171416243926966-0.002136360408839626j),0j,(0.7982130137413598+0.036982895252571146j),,,,,,,,
(0.008021774338284302+0.0015670557233861849j),(0.013167562488295067+0.0010974156025919165j),(0.013872632150189253+0.0013470852757240966j),(0.004400280653653648+0.0015820291463870696j),(0.009965251239679463+0.001747026168797147j),(0.012820580244761421+0.0012242924015192257j),(0.014317891078161926+0.0014679313961420283j),(0.0018760217573108437+0.0019222492481363199j),(0.0073408879393655575-0.0015564160158353863j),(0.012899597395915705+0.0007739359518850038j),(0.014635550496058032+0.0013581554542860595j),(0.0008767437980133891+0.0017635174295873414j),(0.0027092283391736364-0.013107259150485167j),(0.012608673604304333+0.0007007517010922914j),(0.014499161312755597+0.0005140938891611753j),(0.0006107465334521828+0.001081501623606687j),(0.0037742457100428104-0.029327407232156395j),(0.013413956677186046+0.0006921828040805102j),(0.014661381527311798-0.0013668465475624083j),(0.0004494402139616944+0.00043121782761335904j),(0.010977017813028879-0.03217250362619686j),(0.013161919948513833+0.00022205315278680735j),(0.01534247175867554-0.003152098686789278j),(0.000341938223734686+0.00016143849676014777j),(-0.00035493115563234263-0.005047344352871495j),(0.01361823333164781+0.0017927658255775956j),(0.015255220340493342-0.0034042776645206285j),(0.00023849202199616347+4.6416823273239854e-05j),(-0.058543954919696994+0.029102204384742186j),(0.01483457522048498+0.001545478857155275j),(0.012021892228864307-0.0020549642182447134j),0j,(0.7861908880878615+0.03903726692688765j),,,,,,
(0.013079486215400173+0.0011655356618636412j),(0.004930967733551289+0.0017284364687274718j),(0.008814861704185432+0.001748715436564664j),(0.012636817436343725+0.0009510723144856422j),(0.013527411716778376+0.0012511752865372726j),(0.002142667945685769+0.0021514667862179973j),(0.01075567848779565+0.0019639217378150994j),(0.012553877063789277+0.000995106496715695j),(0.014145506212340484+0.0014012601439495418j),(0.0010113794835479378+0.0020467922628480983j),(0.007830924579115132-0.001599386247113087j),(0.012764915796163595+0.0004906795391638342j),(0.014290439651158636+0.0013783836599901265j),(0.0006883174633496935+0.0013270400045613277j),(0.0029180511124127957-0.013971426167164186j),(0.012531074736922982+0.00045522904197629275j),(0.014239408489552139+0.0004777035288768362j),(0.000559666029494175+0.0005688316307189577j),(0.004196427594939168-0.03117180326609882j),(0.01330371731886095+0.0005545905182387867j),(0.014405883120554576-0.0012265127204845894j),(0.00043305815352925566+0.00015932374249048625j),(0.011913797289027639-0.03409794918270307j),(0.013070796858732414+0.00022419555892498654j),(0.015032133092551647-0.0030254779746203136j),(0.0003683843607226279+8.710661590182894e-05j),(-0.0001317388879269803-0.005426230893591508j),(0.013488333162944063+0.0017521133356083107j),(0.015024358193964943-0.003265738244478307j),(0.00026036559855241985+4.2611067593701363e-05j),(-0.06154616844382035+0.030312467210908026j),(0.01457419998813759+0.0015029167649045028j),(0.011829720849764488-0.001980268299876494j),0j,(0.7743609385384458+0.04101695002498336j),,,,
(0.0054361793388195195+0.0018648998965899394j),(0.012574218451434275+0.0010291345751089578j),(0.012792473357693698+0.00107818761417424j),(0.0023943037258598605+0.0023470633335383054j),(0.00954974485618633+0.0019218086217423112j),(0.012385126737579709+0.0007555069906207559j),(0.013394670171620755+0.001175735227308131j),(0.0011336381170934703+0.002313544355038511j),(0.011506463729039+0.002189581334704377j),(0.012431573072672623+0.0007283724448513775j),(0.013837649887647793+0.0014061319214578693j),(0.0007879103068987502+0.0015497532533466137j),(0.008283705987474023-0.0016270045920423323j),(0.012665295145806752+0.0002679823224517406j),(0.014028307695235085+0.0012966974706293223j),(0.0006298834142889998+0.0006933781694939892j),(0.0031292478721513233-0.01479030137263474j),(0.012460845145320145+0.00033069957726285546j),(0.01397736629990427+0.0005347749924414666j),(0.000544428262179655+0.00018818752722823186j),(0.004625146448746081-0.03293294010177361j),(0.013192343024010742+0.0005257529047732724j),(0.014112474055299666-0.001159926545209992j),(0.0004812368117368215+3.498171297259338e-05j),(0.012833642433675678-0.03596336132502569j),(0.012957944498212776+0.00027635375637204726j),(0.014791335613133557-0.0028824035505103764j),(0.00042638373064431806+6.566928008888175e-05j),(0.00010138687694443114-0.005809646745247227j),(0.013322308364287518+0.0017290963507776555j),(0.014750835691730997-0.0031210526467527634j),(0.00028122612654199686+4.31665226060957e-05j),(-0.06446703125810799+0.03145275154774689j),(0.014292963263755716+0.0014597999045740321j),(0.011670033450453657-0.0019231937024609042j),0j,(0.7626906824224479+0.04293956663607886j),,
(0.012324335719968412+0.0009552379972997625j),(0.002635107539974552+0.0025232929632624038j),(0.0059042635069600745+0.0019879092412130963j),(0.012333361677513335+0.0008529361118337097j),(0.012698365007368411+0.0010074251676100673j),(0.0012540068551975612+0.002544322394635663j),(0.010245997161724276+0.002090220326640239j),(0.012264714310613566+0.0005247475541858924j),(0.013143225510495817+0.001176671865787561j),(0.0008775330554314915+0.0017700575551461311j),(0.012200839322314184+0.002419170475027633j),(0.012341922580209512+0.0005080832072439769j),(0.013595299286848361+0.0013110190027156127j),(0.0007255640822417267+0.0008022700101338345j),(0.008716704702610397-0.001641200398979j),(0.012569602508922991+0.00015910783174784526j),(0.01376960504713773+0.0013032559555631183j),(0.0006161906072613522+0.00020847593009137443j),(0.003337100155462303-0.015558667287855982j),(0.012389079775434651+0.0003104330422391284j),(0.013687706259532226+0.0005268251536519683j),(0.0006080537768627289+8.500690335801988e-06j),(0.005050109624908882-0.03461954474055992j),(0.0130655257208406+0.0005522661276188943j),(0.013877974029575035-0.0010734058326692766j),(0.000580293428243955+1.4770776468270373e-06j),(0.013747185810671018-0.03777221997063966j),(0.012804034983229084+0.00034058460879665773j),(0.014506265897336609-0.002728102176111117j),(0.00048330549477298946+6.517877448695073e-05j),(0.00034605793892872723-0.006202672883189608j),(0.013120221559399141+0.0017071275389323004j),(0.014505233942249783-0.0030057613535461516j),(0.000290712068418037+4.5232153793813964e-05j),(-0.0673019803826228+0.03253483006032588j),(0.014002239808016131+0.0014146175977767339j),(0.01150089312744374-0.0018452105536371278j),0j,(0.7511895713190483+0.044784208175057336j)
